Year,Round,Game Number,Home Team,Away Team,Home Score,Away Score,url,attendance,arena,time,game_id
2019,2.0,2.0,Denver Nuggets,Portland Trail Blazers,90,97,https://www.basketball-reference.com/boxscores/201905010DEN.html,"19,520",Pepsi Center,9:00p,16044
2019,2.0,3.0,Philadelphia 76ers,Toronto Raptors,116,95,https://www.basketball-reference.com/boxscores/201905020PHI.html,"20,658",Wells Fargo Center,8:00p,16045
2019,2.0,3.0,Boston Celtics,Milwaukee Bucks,116,123,https://www.basketball-reference.com/boxscores/201905030BOS.html,"18,624",TD Garden,8:00p,16046
2019,2.0,3.0,Portland Trail Blazers,Denver Nuggets,140,137,https://www.basketball-reference.com/boxscores/201905030POR.html,"20,193",Moda Center,10:30p,16047
2019,2.0,3.0,Houston Rockets,Golden State Warriors,126,121,https://www.basketball-reference.com/boxscores/201905040HOU.html,"18,169",Toyota Center,8:30p,16048
2019,2.0,4.0,Philadelphia 76ers,Toronto Raptors,96,101,https://www.basketball-reference.com/boxscores/201905050PHI.html,"20,639",Wells Fargo Center,3:30p,16049
2019,2.0,4.0,Portland Trail Blazers,Denver Nuggets,112,116,https://www.basketball-reference.com/boxscores/201905050POR.html,"20,146",Moda Center,7:00p,16050
2019,2.0,4.0,Boston Celtics,Milwaukee Bucks,101,113,https://www.basketball-reference.com/boxscores/201905060BOS.html,"18,624",TD Garden,7:00p,16051
2019,2.0,4.0,Houston Rockets,Golden State Warriors,112,108,https://www.basketball-reference.com/boxscores/201905060HOU.html,"18,055",Toyota Center,9:30p,16052
2019,2.0,5.0,Toronto Raptors,Philadelphia 76ers,125,89,https://www.basketball-reference.com/boxscores/201905070TOR.html,"20,287",Scotiabank Arena,8:00p,16053
2019,2.0,5.0,Denver Nuggets,Portland Trail Blazers,124,98,https://www.basketball-reference.com/boxscores/201905070DEN.html,"19,520",Pepsi Center,10:30p,16054
2019,2.0,5.0,Milwaukee Bucks,Boston Celtics,116,91,https://www.basketball-reference.com/boxscores/201905080MIL.html,"17,701",Fiserv Forum,8:00p,16055
2019,2.0,5.0,Golden State Warriors,Houston Rockets,104,99,https://www.basketball-reference.com/boxscores/201905080GSW.html,"19,596",Oracle Arena,10:30p,16056
2019,2.0,6.0,Philadelphia 76ers,Toronto Raptors,112,101,https://www.basketball-reference.com/boxscores/201905090PHI.html,"20,525",Wells Fargo Center,8:00p,16057
2019,2.0,6.0,Portland Trail Blazers,Denver Nuggets,119,108,https://www.basketball-reference.com/boxscores/201905090POR.html,"20,022",Moda Center,10:30p,16058
