player_id,game_id,points,rebounds,assists,2pm,2pa,3pm,3pa,FTM,FTA,FGM depth,FGA depth,FGM,FGA,offensive rebounds,defensive rebounds,fouls,fouls drawn,turnovers,steals,blocks
jordade01,10811,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
siakapa01,10812,0,0,0,0,1,0,0,0,0,0.0,15.0,0,1,0,0,1,0,0,0,0
roziete01,10812,6,2,0,0,0,2,3,0,0,23.5,24.666666666666668,2,3,1,1,3,0,1,0,0
anunoog01,10812,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,1,0,1,0
bridgmi02,10812,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0
washipj01,10812,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0
lowryky01,10812,4,0,0,1,1,0,0,2,2,19.0,19.0,1,1,0,0,0,1,0,0,0
powelno01,10812,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
vanvlfr01,10812,2,0,0,0,0,0,1,2,2,0.0,24.0,0,1,0,0,0,1,0,0,0
Team,10812,0,3,0,0,0,0,0,0,0,0.0,0.0,0,0,1,2,0,0,1,0,0
haywago01,10812,0,0,0,0,1,0,0,0,0,0.0,17.0,0,1,0,0,0,0,0,0,0
grahade01,10812,5,0,1,1,2,1,2,0,0,14.5,18.75,2,4,0,0,0,1,0,0,0
bouchch01,10812,4,0,0,0,0,0,0,4,4,0.0,0.0,0,0,0,0,0,2,0,0,0
ballla01,10812,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
biyombi01,10812,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
johnsst04,10812,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1
miltosh01,10813,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0
clarkbr01,10813,2,1,0,0,0,0,0,2,2,0.0,0.0,0,0,0,1,0,1,0,0,0
harrito02,10813,4,1,0,2,2,0,0,0,0,10.5,10.5,2,2,0,1,0,0,1,0,0
maxeyty01,10813,0,0,0,0,0,0,1,0,0,0.0,25.0,0,1,0,0,0,0,0,0,0
simmobe01,10813,0,1,0,0,0,0,1,0,0,0.0,25.0,0,1,0,1,1,0,1,0,0
howardw01,10813,0,3,0,0,0,0,0,0,1,0.0,0.0,0,0,1,2,0,1,0,0,1
tillmxa01,10813,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0
Team,10813,0,3,0,0,0,0,0,0,0,0.0,0.0,0,0,2,1,0,0,0,0,0
allengr01,10813,0,0,0,0,1,0,0,0,0,0.0,12.0,0,1,0,0,0,0,0,0,0
moranja01,10813,1,0,0,0,1,0,0,1,2,0.0,8.0,0,1,0,0,0,1,1,1,0
anderky01,10813,0,0,0,0,0,0,1,0,0,0.0,23.0,0,1,0,0,0,0,0,0,0
brookdi01,10813,0,1,0,0,1,0,0,0,0,0.0,11.0,0,1,0,1,0,0,0,0,0
greenda02,10813,0,0,0,0,0,0,1,0,0,0.0,25.0,0,1,0,0,0,0,0,0,0
meltode01,10813,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
collijo01,10815,0,2,0,0,1,0,0,0,0,0.0,1.0,0,1,1,1,0,0,0,0,1
trentga02,10815,0,1,0,0,1,0,0,0,0,0.0,18.0,0,1,0,1,0,0,0,0,0
jonesde02,10815,2,1,0,1,1,0,0,0,0,1.0,1.0,1,1,0,1,0,0,0,1,0
lillada01,10815,5,1,1,0,1,0,0,5,5,0.0,2.0,0,1,0,1,1,4,1,0,0
huertke01,10815,0,0,0,0,0,0,1,0,0,0.0,28.0,0,1,0,0,0,0,1,0,0
hillso01,10815,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
youngtr01,10815,2,1,0,1,3,0,2,0,0,8.0,17.6,1,5,0,1,1,0,1,0,0
